#E_bin_min g(E)
-750 0
-724 12272.8
-698 12323.5
-672 12545.5
-646 12733
-620 12845
-594 12873
-568 12894.3
-542 12904.8
-516 12950
-490 12972
-464 12996.8
-438 13011
-412 13037.3
-386 13055
-360 13076
-334 13092.8
-308 13102.8
-282 13119.3
-256 13143.8
-230 13176.8
-204 13199.5
-178 13208.3
-152 13220.8
-126 13231
-100 13244.3
-74 13253.5
-48 13260
-22 13267.5
4 13272.8
30 13260
56 13250.5
82 13231
108 13212
134 13202.3
160 13189
186 13172.8
212 13159.3
238 13144.5
264 13131
290 13104
316 13091
342 13047.3
368 13036.8
394 12942.5
420 12896.8
446 12674
472 12657
498 12316
524 0
