#E_bin_min g(E)
-750 0
-737 0
-724 0
-711 1952.25
-698 0
-685 1999.25
-672 2013.5
-659 2025.25
-646 2049
-633 2058.75
-620 2085.75
-607 2107.25
-594 2132.75
-581 2141.5
-568 2164
-555 2173.75
-542 2190.75
-529 2200
-516 2215.75
-503 2231
-490 2242.75
-477 2255.25
-464 2265
-451 2269.25
-438 2291
-425 2298.25
-412 2312.75
-399 2331
-386 2338.75
-373 2361.75
-360 2373
-347 2374.75
-334 2391.75
-321 2397.75
-308 2407.25
-295 2416
-282 2421.25
-269 2436.5
-256 2447.5
-243 2455.5
-230 2467.25
-217 2475
-204 2485.5
-191 2497.5
-178 2498
-165 2510.75
-152 2522.25
-139 2527.5
-126 2536.5
-113 2534.5
-100 2546.25
-87 2555.25
-74 2547
-61 2560.25
-48 2567.75
-35 2562.25
-22 2573
-9 2563
4 2570
17 2569.5
30 2559.5
43 2562.25
56 2551
69 2539.75
82 2543
95 2530.25
108 2539
121 2532.25
134 2523.5
147 2516.25
160 2508.75
173 2499.25
186 2501
199 2488.75
212 2486.75
225 2476.75
238 2466.25
251 2459.25
264 2451.25
277 2436.25
290 2420.75
303 2408.5
316 2397.5
329 2381.25
342 2369
355 2363
368 2342
381 2331
394 2324
407 2309.75
420 2291.5
433 2276.75
446 2254.5
459 2242.25
472 2232
485 2069.5
498 2030.25
511 0
524 0
537 0
