#E_bin_min g(E)
-725 0
-700 24993.8
-675 25136
-650 25161.5
-625 25247.8
-600 25391.5
-575 25402.3
-550 25416.5
-525 25434
-500 25510.8
-475 25591.3
-450 25603.8
-425 25618.8
-400 25636.3
-375 25652.3
-350 25682.8
-325 25693.3
-300 25703.8
-275 25714.3
-250 25732.5
-225 25745.5
-200 25763.5
-175 25780.5
-150 25799.8
-125 25819.3
-100 25834
-75 25850
-50 25864.8
-25 25871.5
0 25880.3
25 25882.5
50 25870
75 25860.8
100 25844.8
125 25834.3
150 25820.5
175 25811
200 25793.5
225 25775
250 25762.5
275 25745.3
300 25728.8
325 25653.8
350 25636
375 25592
400 25572
425 25543.3
450 25526.8
475 25500
500 23322.8
