#E_bin_min g(E)
-750 0
-737 0
-724 0
-711 3682.75
-698 0
-685 3739.5
-672 3819
-659 3832.5
-646 3850.25
-633 3870.75
-620 3880
-607 3901
-594 3909.75
-581 3921
-568 3936
-555 3955
-542 3969.25
-529 3972.75
-516 3990.75
-503 4004.5
-490 4011
-477 4028.25
-464 4037.5
-451 4041
-438 4051.25
-425 4053.25
-412 4063
-399 4073.25
-386 4081.5
-373 4090
-360 4109.5
-347 4117.75
-334 4125.75
-321 4134.5
-308 4142.75
-295 4156.5
-282 4163.25
-269 4173.25
-256 4184
-243 4184.25
-230 4196.5
-217 4201.5
-204 4215.25
-191 4226
-178 4224.75
-165 4236
-152 4244
-139 4243.75
-126 4252.25
-113 4252
-100 4260.5
-87 4272.25
-74 4278
-61 4287.5
-48 4298.5
-35 4290.25
-22 4300.5
-9 4289.75
4 4298.75
17 4297.75
30 4287.75
43 4294
56 4286
69 4276.75
82 4279.75
95 4267.25
108 4270.25
121 4261.5
134 4253.75
147 4251.25
160 4240
173 4228
186 4226.5
199 4217.75
212 4213.75
225 4200.75
238 4183.75
251 4178
264 4167.75
277 4158.25
290 4150.75
303 4131.25
316 4121.5
329 4099.5
342 4083
355 4073.5
368 4062.25
381 4052.75
394 4043.25
407 4030.25
420 4022.25
433 4006.5
446 3991
459 3979.75
472 3959
485 3780
498 3748.75
511 0
524 0
537 0
