#E_bin_min g(E)
-1000 0
-980 0
-960 0
-940 0
-920 0
-900 0
-880 0
-860 0
-840 0
-820 0
-800 0
-780 0
-760 0
-740 0
-720 0
-700 3350
-680 3371.75
-660 3396
-640 3421.75
-620 3446.25
-600 3455.75
-580 3470.75
-560 3487.25
-540 3504
-520 3513
-500 3533.75
-480 3545.25
-460 3566
-440 3578
-420 3596
-400 3603.75
-380 3619.25
-360 3629
-340 3640.75
-320 3648.75
-300 3666.25
-280 3683.75
-260 3694
-240 3702.5
-220 3717.25
-200 3728.5
-180 3739
-160 3747.25
-140 3760.5
-120 3769.75
-100 3781.5
-80 3787.5
-60 3795.75
-40 3800.25
-20 3804.75
0 3794
20 3801.5
40 3795.25
60 3786.5
80 3773.5
100 3765.75
120 3756.5
140 3744.75
160 3729
180 3719
200 3693.75
220 3685.75
240 3675.75
260 3666.25
280 3653.5
300 3641.25
320 3629
340 3612.75
360 3597.5
380 3581.5
400 3480.5
420 3440.75
440 3427.25
460 3414
480 3189.5
500 3100.75
520 0
540 0
560 0
580 0
600 0
620 0
640 0
660 0
680 0
700 0
720 0
740 0
760 0
780 0
800 0
820 0
840 0
860 0
880 0
900 0
920 0
940 0
960 0
980 0
