#E_bin_min g(E)
-750 0
-737 0
-724 0
-711 1887
-698 0
-685 2013.25
-672 2067.75
-659 2086.5
-646 2118.25
-633 2126.75
-620 2146.25
-607 2163
-594 2172
-581 2193
-568 2200.75
-555 2205
-542 2217
-529 2222
-516 2241
-503 2251.75
-490 2249
-477 2263.25
-464 2276
-451 2285.25
-438 2295
-425 2302.75
-412 2314.75
-399 2328.5
-386 2337.25
-373 2349
-360 2361.25
-347 2367.25
-334 2377.5
-321 2381
-308 2390.5
-295 2401.25
-282 2409.5
-269 2424
-256 2433
-243 2435
-230 2445.5
-217 2450
-204 2460.5
-191 2485
-178 2490.5
-165 2499.5
-152 2504.75
-139 2507.25
-126 2517
-113 2514
-100 2522.75
-87 2531.5
-74 2524.5
-61 2534.75
-48 2542.25
-35 2535.5
-22 2543.5
-9 2534.25
4 2545
17 2537.5
30 2529.25
43 2538
56 2532
69 2523
82 2531.5
95 2519.5
108 2524.25
121 2510.5
134 2501
147 2503.25
160 2493.75
173 2482.25
186 2476.25
199 2464.5
212 2464
225 2453.25
238 2444
251 2434.25
264 2423.5
277 2412
290 2402.5
303 2394.25
316 2386.5
329 2376.5
342 2365
355 2356
368 2343.75
381 2333.25
394 2325.75
407 2313.25
420 2307.25
433 2295
446 2284.25
459 2266.5
472 2257.5
485 2232.5
498 2193.5
511 0
524 0
537 0
