#E_bin_min g(E)
-800 0
-786 0
-772 0
-758 0
-744 0
-730 0
-716 0
-702 2064.75
-688 2197
-674 2212.25
-660 2254.5
-646 2274.75
-632 2291.25
-618 2310.5
-604 2361.75
-590 2370
-576 2384
-562 2401.75
-548 2413
-534 2436.5
-520 2447
-506 2446.75
-492 2456.25
-478 2466.5
-464 2476.75
-450 2490
-436 2502
-422 2515.75
-408 2523.75
-394 2537
-380 2547.25
-366 2556.5
-352 2569.75
-338 2569.5
-324 2581
-310 2595.75
-296 2613.75
-282 2623
-268 2635.25
-254 2653
-240 2661.75
-226 2669
-212 2678
-198 2684.25
-184 2697.25
-170 2698
-156 2709.5
-142 2717.75
-128 2726.75
-114 2728.25
-100 2735.75
-86 2745.25
-72 2754
-58 2751
-44 2760.5
-30 2762
-16 2762.5
-2 2749
12 2757.5
26 2751.5
40 2746
54 2730.5
68 2734.5
82 2726.5
96 2718.5
110 2706.75
124 2704.25
138 2694.25
152 2685.5
166 2674
180 2673
194 2663.75
208 2650.25
222 2638.25
236 2629
250 2621
264 2610
278 2597
292 2589.75
306 2580
320 2569.5
334 2557.5
348 2552.5
362 2534.75
376 2506
390 2488.25
404 2480
418 2471
432 2453.75
446 2437.25
460 2423.25
474 2348.75
488 2237.75
502 0
516 0
530 0
544 0
558 0
572 0
586 0
