#E_bin_min g(E)
-725 0
-700 12170.8
-675 12398.5
-650 12466.5
-625 12493.5
-600 12518
-575 12549.3
-550 12568
-525 12645.3
-500 12697
-475 12713.5
-450 12743
-425 12754.5
-400 12765.3
-375 12775.5
-350 12790
-325 12804.3
-300 12859.8
-275 12877.3
-250 12895.5
-225 12909.5
-200 12919
-175 12931.8
-150 12942.8
-125 12959.8
-100 12971
-75 12982.5
-50 12991
-25 13000.8
0 13001.5
25 12998
50 12995.8
75 12989
100 12982.3
125 12966
150 12942.8
175 12918.8
200 12908.3
225 12897
250 12888.3
275 12880.3
300 12868.3
325 12840.8
350 12812.8
375 12800.5
400 12772.3
425 12753.8
450 12721
475 12638.5
500 12463.8
