#E_bin_min g(E)
-725 0
-700 3566.5
-675 3683
-650 3819
-625 3837.25
-600 3867.5
-575 3899.5
-550 3929.5
-525 3956
-500 3996.75
-475 4009.5
-450 4025.75
-425 4038.5
-400 4056
-375 4065
-350 4076.75
-325 4086.5
-300 4115.25
-275 4147.5
-250 4174.75
-225 4186.5
-200 4195.5
-175 4205
-150 4218.75
-125 4231.25
-100 4240
-75 4253.25
-50 4264.25
-25 4273.75
0 4279.5
25 4278
50 4270.5
75 4258.25
100 4240.75
125 4227.75
150 4219
175 4192.75
200 4183.25
225 4172
250 4135.25
275 4123.25
300 4111.25
325 4083.5
350 4065
375 4049.75
400 4032.25
425 4017.5
450 3967.75
475 3860.5
500 3813.5
