#E_bin_min g(E)
-1000 0
-980 0
-960 0
-940 0
-920 0
-900 0
-880 0
-860 0
-840 0
-820 0
-800 0
-780 0
-760 0
-740 0
-720 0
-700 3304.25
-680 3327
-660 3352
-640 3378.5
-620 3415
-600 3424.75
-580 3441.75
-560 3453
-540 3469
-520 3481
-500 3513
-480 3533
-460 3544.75
-440 3556.5
-420 3568
-400 3582.75
-380 3599.25
-360 3612
-340 3628.75
-320 3648.25
-300 3660.25
-280 3673.75
-260 3694.25
-240 3702.5
-220 3711.5
-200 3724
-180 3750
-160 3761
-140 3773
-120 3782.25
-100 3790
-80 3803.75
-60 3811.75
-40 3804
-20 3811
0 3801.5
20 3796.75
40 3787.75
60 3790.5
80 3784.75
100 3775.75
120 3760.25
140 3751.25
160 3742
180 3731.5
200 3715.25
220 3703
240 3678.5
260 3669
280 3651.5
300 3633
320 3621
340 3602
360 3591.25
380 3578.5
400 3563.75
420 3551.5
440 3535.5
460 3515.25
480 3337.25
500 2957.25
520 0
540 0
560 0
580 0
600 0
620 0
640 0
660 0
680 0
700 0
720 0
740 0
760 0
780 0
800 0
820 0
840 0
860 0
880 0
900 0
920 0
940 0
960 0
980 0
