#E_bin_min g(E)
-750 0
-737 0
-724 0
-711 1940.25
-698 0
-685 1952.25
-672 2027.25
-659 2035.5
-646 2083
-633 2103.5
-620 2111
-607 2133.75
-594 2130.75
-581 2154.5
-568 2168.5
-555 2175.25
-542 2194
-529 2199.75
-516 2225.75
-503 2234.25
-490 2244.75
-477 2255.25
-464 2266.75
-451 2277.75
-438 2287.5
-425 2292.25
-412 2305
-399 2325.25
-386 2327.5
-373 2340.5
-360 2352
-347 2362
-334 2374
-321 2381.5
-308 2402
-295 2411.5
-282 2419
-269 2433
-256 2443
-243 2453.25
-230 2464.75
-217 2473
-204 2482.5
-191 2494.25
-178 2494.5
-165 2506.75
-152 2514.25
-139 2521.5
-126 2535.5
-113 2529
-100 2540.75
-87 2549
-74 2547.25
-61 2557.25
-48 2567.25
-35 2564.75
-22 2573
-9 2564.75
4 2577
17 2575.5
30 2563
43 2570.75
56 2562
69 2552
82 2551.25
95 2538.5
108 2538.25
121 2527.5
134 2518.25
147 2517.5
160 2509
173 2498.5
186 2493
199 2482.75
212 2475
225 2466.25
238 2455.5
251 2451.25
264 2442
277 2430.25
290 2427
303 2408.5
316 2403.25
329 2394
342 2383
355 2374.75
368 2349
381 2330
394 2306.5
407 2289
420 2279.5
433 2265
446 2256
459 2237.25
472 2184
485 2150.75
498 2075.5
511 0
524 0
537 0
