#number of lines of data in this file :
300
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.052 0
0.0866667 0
0.121333 0
0.156 0
0.190667 0
0.225333 0
0.26 0
0.294667 0
0.329333 0
0.364 0
0.398667 0
0.433333 4596.63
0.468 0
0.502667 0
0.537333 0
0.572 4626.69
0.606667 0
0.641333 4633.5
0.676 4650.81
0.710667 0
0.745333 4659.31
0.78 0
0.814667 4681.19
0.849333 0
0.884 4691.75
0.918667 0
0.953333 4703.06
0.988 0
1.02267 4715.25
1.05733 0
1.092 4723.13
1.12667 4732.19
1.16133 0
1.196 4736.75
1.23067 0
1.26533 4744.06
1.3 0
1.33467 4751.25
1.36933 0
1.404 4760.56
1.43867 0
1.47333 4769.81
1.508 4773.44
1.54267 0
1.57733 4782.13
1.612 0
1.64667 4790.31
1.68133 0
1.716 4795.88
1.75067 0
1.78533 4804
1.82 0
1.85467 4807.19
1.88933 0
1.924 4814.31
1.95867 4820.63
1.99333 0
2.028 4825.25
2.06267 0
2.09733 4834.56
2.132 0
2.16667 4844.25
2.20133 0
2.236 4852.56
2.27067 0
2.30533 4855.81
2.34 4863.44
2.37467 0
2.40933 4869.06
2.444 0
2.47867 4872.69
2.51333 0
2.548 4877.75
2.58267 0
2.61733 4884.06
2.652 0
2.68667 4892.5
2.72133 0
2.756 4900.19
2.79067 4907.75
2.82533 0
2.86 4910.19
2.89467 0
2.92933 4919.56
2.964 0
2.99867 4926.44
3.03333 0
3.068 4933.88
3.10267 0
3.13733 4941.5
3.172 4948.69
3.20667 0
3.24133 4953.44
3.276 0
3.31067 4959.44
3.34533 0
3.38 4965.44
3.41467 0
3.44933 4971.56
3.484 0
3.51867 4976.69
3.55333 0
3.588 4985.19
3.62267 4988.75
3.65733 0
3.692 4996.69
3.72667 0
3.76133 5003.06
3.796 0
3.83067 5008.69
3.86533 0
3.9 5014.38
3.93467 0
3.96933 5021.44
4.004 5025.44
4.03867 0
4.07333 5031.31
4.108 0
4.14267 5037.19
4.17733 0
4.212 5044.25
4.24667 0
4.28133 5048.81
4.316 0
4.35067 5055.88
4.38533 0
4.42 5060.5
4.45467 5065.31
4.48933 0
4.524 5069.75
4.55867 0
4.59333 5075.81
4.628 0
4.66267 5081.69
4.69733 0
4.732 5085.38
4.76667 0
4.80133 5092.88
4.836 5097
4.87067 0
4.90533 5102.69
4.94 0
4.97467 5106.5
5.00933 0
5.044 5113.13
5.07867 0
5.11333 5120.63
5.148 0
5.18267 5122.69
5.21733 0
5.252 5128.25
5.28667 5130.5
5.32133 0
5.356 5135.63
5.39067 0
5.42533 5138.44
5.46 0
5.49467 5141.94
5.52933 0
5.564 5146.56
5.59867 0
5.63333 5149.31
5.668 5154.94
5.70267 0
5.73733 5158
5.772 0
5.80667 5162.56
5.84133 0
5.876 5166.56
5.91067 0
5.94533 5165.56
5.98 0
6.01467 5171.13
6.04933 0
6.084 5171.56
6.11867 5167.13
6.15333 0
6.188 5163.56
6.22267 0
6.25733 5158.81
6.292 0
6.32667 5156.31
6.36133 0
6.396 5152.69
6.43067 0
6.46533 5149.38
6.5 5145.19
6.53467 0
6.56933 5142.06
6.604 0
6.63867 5138.38
6.67333 0
6.708 5133.44
6.74267 0
6.77733 5127.75
6.812 0
6.84667 5124.88
6.88133 0
6.916 5119.88
6.95067 5115.94
6.98533 0
7.02 5109.38
7.05467 0
7.08933 5102.63
7.124 0
7.15867 5099.06
7.19333 0
7.228 5092
7.26267 0
7.29733 5087.31
7.332 5082.75
7.36667 0
7.40133 5078.25
7.436 0
7.47067 5071.75
7.50533 0
7.54 5064.19
7.57467 0
7.60933 5058.5
7.644 0
7.67867 5053.88
7.71333 0
7.748 5046.56
7.78267 5040.63
7.81733 0
7.852 5034.63
7.88667 0
7.92133 5029.44
7.956 0
7.99067 5021.5
8.02533 0
8.06 5013.19
8.09467 0
8.12933 5004.75
8.164 4999.31
8.19867 0
8.23333 4992
8.268 0
8.30267 4985.63
8.33733 0
8.372 4978.56
8.40667 0
8.44133 4972.56
8.476 0
8.51067 4963.75
8.54533 0
8.58 4956.5
8.61467 4948.38
8.64933 0
8.684 4939.25
8.71867 0
8.75333 4932.63
8.788 0
8.82267 4924
8.85733 0
8.892 4916
8.92667 0
8.96133 4907.44
8.996 4899.5
9.03067 0
9.06533 4890.5
9.1 0
9.13467 4882.13
9.16933 0
9.204 4873.94
9.23867 0
9.27333 4865.19
9.308 0
9.34267 4857.56
9.37733 0
9.412 4849.25
9.44667 4837.69
9.48133 0
9.516 4829.25
9.55067 0
9.58533 4817.5
9.62 0
9.65467 4807.38
9.68933 0
9.724 4797.88
9.75867 0
9.79333 4788
9.828 4779.31
9.86267 0
9.89733 4768.63
9.932 0
9.96667 4759.75
10.0013 0
10.036 4743.38
10.0707 0
10.1053 0
10.14 0
10.1747 0
10.2093 0
10.244 0
10.2787 0
10.3133 0
10.348 0
10.3827 0
10.4173 0
