#number of lines of data in this file :
200
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.078 0
0.13 0
0.182 0
0.234 0
0.286 0
0.338 0
0.39 0
0.442 13217
0.494 0
0.546 0
0.598 13238
0.65 13245.7
0.702 13253.6
0.754 13260
0.806 0
0.858 13275.2
0.91 13286.9
0.962 13295.5
1.014 13303.3
1.066 0
1.118 13311.5
1.17 13320
1.222 13326
1.274 13333.1
1.326 13341.5
1.378 0
1.43 13349.4
1.482 13356
1.534 13365.4
1.586 13372.5
1.638 0
1.69 13380.6
1.742 13386.2
1.794 13391.8
1.846 13400
1.898 0
1.95 13405.5
2.002 13413.7
2.054 13417.2
2.106 13425.7
2.158 13429.1
2.21 0
2.262 13436.6
2.314 13440.7
2.366 13447.8
2.418 13451.8
2.47 0
2.522 13459.6
2.574 13464.1
2.626 13470.7
2.678 13474.4
2.73 0
2.782 13480.3
2.834 13484.7
2.886 13490.5
2.938 13496.4
2.99 13502.6
3.042 0
3.094 13506.8
3.146 13513.7
3.198 13517.9
3.25 13525.3
3.302 0
3.354 13531
3.406 13535.5
3.458 13543
3.51 13550.7
3.562 0
3.614 13557.8
3.666 13565.8
3.718 13571.5
3.77 13576.7
3.822 13582.1
3.874 0
3.926 13589.4
3.978 13595.4
4.03 13602.6
4.082 13608.9
4.134 0
4.186 13613.8
4.238 13619.3
4.29 13625.4
4.342 13629
4.394 0
4.446 13635
4.498 13638.9
4.55 13644.5
4.602 13649.5
4.654 13655.1
4.706 0
4.758 13660.2
4.81 13665.6
4.862 13670.1
4.914 13674.7
4.966 0
5.018 13679.8
5.07 13684.1
5.122 13690.1
5.174 13692.7
5.226 0
5.278 13698.5
5.33 13701.3
5.382 13706.9
5.434 13710.5
5.486 13715.9
5.538 0
5.59 13719.1
5.642 13724.3
5.694 13726.8
5.746 13732.3
5.798 0
5.85 13735.4
5.902 13737.8
5.954 13742.4
6.006 13745.3
6.058 0
6.11 13743.1
6.162 13739
6.214 13736.5
6.266 13735.5
6.318 13729.4
6.37 0
6.422 13727.6
6.474 13721.4
6.526 13719.3
6.578 13712.8
6.63 0
6.682 13710.7
6.734 13703.3
6.786 13701.6
6.838 13694.3
6.89 0
6.942 13691.6
6.994 13685.5
7.046 13681.7
7.098 13675.8
7.15 13671.9
7.202 0
7.254 13665.5
7.306 13662.2
7.358 13655.6
7.41 13652
7.462 0
7.514 13646.1
7.566 13641.7
7.618 13633.6
7.67 13629.7
7.722 0
7.774 13623.9
7.826 13618.5
7.878 13612.1
7.93 13607.4
7.982 13599.9
8.034 0
8.086 13593.5
8.138 13585.1
8.19 13578
8.242 13569.6
8.294 0
8.346 13561.7
8.398 13553.8
8.45 13545.5
8.502 13537.4
8.554 0
8.606 13529.1
8.658 13521.2
8.71 13513
8.762 13505.1
8.814 13496.3
8.866 0
8.918 13488.5
8.97 13480.1
9.022 13471.9
9.074 13463.5
9.126 0
9.178 13454.8
9.23 13446
9.282 13437.4
9.334 13428.5
9.386 0
9.438 13419.5
9.49 13411.5
9.542 13402.9
9.594 13393.4
9.646 13384.4
9.698 0
9.75 13375.1
9.802 13365.4
9.854 13354.2
9.906 13343.9
9.958 0
10.01 13333.6
10.062 13322.1
10.114 0
10.166 0
10.218 0
10.27 0
10.322 0
10.374 0
10.426 0
