#number of lines of data in this file :
50
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.312 0
0.52 28290.8
0.728 28329.3
0.936 28354.9
1.144 28389.6
1.352 28442.1
1.56 28458.1
1.768 28471.8
1.976 28485.9
2.184 28500.3
2.392 28515.1
2.6 28531.6
2.808 28549.4
3.016 28559.5
3.224 28570.9
3.432 28581.5
3.64 28597.9
3.848 28610.5
4.056 28621.4
4.264 28631.6
4.472 28641.5
4.68 28655.1
4.888 28667.7
5.096 28677.8
5.304 28687.9
5.512 28699.1
5.72 28710
5.928 28719.1
6.136 28727.1
6.344 28736.3
6.552 28728.5
6.76 28719.8
6.968 28711.1
7.176 28701.3
7.384 28692.3
7.592 28680.9
7.8 28671.7
8.008 28660.6
8.216 28647.6
8.424 28636.6
8.632 28627
8.84 28615.9
9.048 28603.9
9.256 28592.8
9.464 28575.8
9.672 28555.8
9.88 28501.1
10.088 28312.3
10.296 28226.5
10.504 0
