#number of lines of data in this file :
50
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.312 0
0.52 0
0.728 8494
0.936 8683.5
1.144 8832.5
1.352 8844.5
1.56 8881.5
1.768 8913.25
1.976 8986.75
2.184 9062.5
2.392 9080.75
2.6 9099
2.808 9108.5
3.016 9142.75
3.224 9153.75
3.432 9179.25
3.64 9208.5
3.848 9231.25
4.056 9243.75
4.264 9260.25
4.472 9269.25
4.68 9286.25
4.888 9298
5.096 9305
5.304 9327.5
5.512 9341.75
5.72 9349.5
5.928 9363.25
6.136 9370.5
6.344 9383
6.552 9379.5
6.76 9367.25
6.968 9355
7.176 9335.75
7.384 9327.5
7.592 9317.75
7.8 9307.75
8.008 9293
8.216 9232
8.424 9219
8.632 9201.5
8.84 9170.75
9.048 9136.75
9.256 9124
9.464 9093.75
9.672 8977.25
9.88 8961.25
10.088 0
10.296 0
10.504 0
