#number of lines of data in this file :
200
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.078 0
0.13 0
0.182 0
0.234 0
0.286 0
0.338 0
0.39 0
0.442 0
0.494 0
0.546 0
0.598 0
0.65 0
0.702 10026.7
0.754 0
0.806 10037.1
0.858 10039.1
0.91 10044.6
0.962 10056.3
1.014 10066.5
1.066 10077.7
1.118 10087.7
1.17 10077.5
1.222 10097.1
1.274 10105.7
1.326 10114.2
1.378 10122.2
1.43 10120
1.482 10131.2
1.534 10134.2
1.586 10142.9
1.638 10152.4
1.69 10153.8
1.742 10162.5
1.794 10165.5
1.846 10172.2
1.898 10176
1.95 10183.5
2.002 10188.5
2.054 10193.3
2.106 10198.6
2.158 10202.9
2.21 10207.9
2.262 10215.9
2.314 10219.4
2.366 10225.6
2.418 10228.4
2.47 10234.6
2.522 10237.1
2.574 10245.3
2.626 10246.8
2.678 10255.1
2.73 10257.7
2.782 10264.7
2.834 10268.6
2.886 10273.9
2.938 10278.6
2.99 10284.5
3.042 10287.5
3.094 10294.7
3.146 10297.1
3.198 10304.6
3.25 10308.1
3.302 10315
3.354 10318.9
3.406 10327.2
3.458 10329.4
3.51 10336.6
3.562 10339.6
3.614 10346.7
3.666 10349.3
3.718 10356.2
3.77 10360.1
3.822 10365.7
3.874 10370.2
3.926 10375.8
3.978 10379.1
4.03 10385.1
4.082 10388.2
4.134 10395.8
4.186 10397
4.238 10405.5
4.29 10406.7
4.342 10415
4.394 10416.7
4.446 10424.1
4.498 10426.3
4.55 10433.2
4.602 10435.5
4.654 10442.7
4.706 10445.2
4.758 10452.5
4.81 10453.5
4.862 10461.3
4.914 10462.4
4.966 10469.9
5.018 10470.8
5.07 10478.7
5.122 10480.7
5.174 10486.6
5.226 10489.9
5.278 10494.2
5.33 10498.6
5.382 10502.3
5.434 10506.6
5.486 10510.4
5.538 10513.2
5.59 10517.4
5.642 10520.3
5.694 10521.5
5.746 10526.7
5.798 10529.7
5.85 10530.1
5.902 10538.5
5.954 10531.1
6.006 10535.6
6.058 10536.5
6.11 10533.4
6.162 10532.1
6.214 10528.3
6.266 10526.5
6.318 10524.8
6.37 10520.5
6.422 10518.3
6.474 10516.3
6.526 10511.7
6.578 10509.4
6.63 10507.4
6.682 10500.7
6.734 10499.9
6.786 10492.2
6.838 10490.7
6.89 10484
6.942 10481.8
6.994 10475.7
7.046 10472.3
7.098 10466.8
7.15 10463.7
7.202 10458.2
7.254 10455.2
7.306 10449.3
7.358 10446
7.41 10440.5
7.462 10437.9
7.514 10430.5
7.566 10428.6
7.618 10420.3
7.67 10418.4
7.722 10411.3
7.774 10409
7.826 10402.3
7.878 10400
7.93 10392.7
7.982 10389.9
8.034 10384.3
8.086 10380.4
8.138 10374.6
8.19 10370.5
8.242 10364
8.294 10362.1
8.346 10354
8.398 10353
8.45 10344.5
8.502 10342.5
8.554 10335.8
8.606 10329.6
8.658 10326.2
8.71 10319.9
8.762 10315.7
8.814 10307.6
8.866 10304.3
8.918 10296.8
8.97 10294.8
9.022 10287.2
9.074 10279.1
9.126 10273.6
9.178 10269.8
9.23 10263.7
9.282 10255
9.334 10247.9
9.386 10239.1
9.438 10230.5
9.49 10222.6
9.542 10220.8
9.594 10211.6
9.646 10201.5
9.698 10192.1
9.75 10180.1
9.802 10182.3
9.854 10173.1
9.906 10163
9.958 10153.1
10.01 0
10.062 0
10.114 0
10.166 0
10.218 0
10.27 0
10.322 0
10.374 0
10.426 0
