#number of lines of data in this file :
200
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.078 0
0.13 0
0.182 0
0.234 0
0.286 0
0.338 0
0.39 0
0.442 0
0.494 0
0.546 0
0.598 0
0.65 0
0.702 10125.9
0.754 0
0.806 10140.1
0.858 10138.3
0.91 10149.5
0.962 10158.7
1.014 10167.8
1.066 10177.7
1.118 10186.3
1.17 10182.4
1.222 10195.4
1.274 10202.9
1.326 10212.3
1.378 10221.7
1.43 10217.2
1.482 10229.1
1.534 10235.3
1.586 10239.9
1.638 10248.4
1.69 10249.4
1.742 10259.5
1.794 10259.6
1.846 10268.4
1.898 10272.6
1.95 10280.8
2.002 10288.2
2.054 10290.6
2.106 10297
2.158 10301.1
2.21 10307
2.262 10311.9
2.314 10316.6
2.366 10323.2
2.418 10326.4
2.47 10332.3
2.522 10335.4
2.574 10343.4
2.626 10346.3
2.678 10354.5
2.73 10357.7
2.782 10362.9
2.834 10368.2
2.886 10372.9
2.938 10378.4
2.99 10382.9
3.042 10388.3
3.094 10394.3
3.146 10397
3.198 10403.7
3.25 10407.2
3.302 10414.3
3.354 10416.6
3.406 10425.1
3.458 10427.1
3.51 10434.9
3.562 10437.3
3.614 10444.3
3.666 10448.6
3.718 10453.1
3.77 10459.2
3.822 10464.5
3.874 10467.9
3.926 10474.2
3.978 10477
4.03 10484.9
4.082 10488.6
4.134 10494.9
4.186 10498.1
4.238 10506.1
4.29 10508
4.342 10515.6
4.394 10517.6
4.446 10524
4.498 10526.5
4.55 10533.8
4.602 10537
4.654 10542.8
4.706 10545.2
4.758 10551.9
4.81 10554
4.862 10560.7
4.914 10562.4
4.966 10569.6
5.018 10571.1
5.07 10578.9
5.122 10580.1
5.174 10587.3
5.226 10589.1
5.278 10595.7
5.33 10597.4
5.382 10603.8
5.434 10606.1
5.486 10609.8
5.538 10613.7
5.59 10618.3
5.642 10620.2
5.694 10623.1
5.746 10628.2
5.798 10629.4
5.85 10630.2
5.902 10638.3
5.954 10630.9
6.006 10630.4
6.058 10630.8
6.11 10628.2
6.162 10625.5
6.214 10622.6
6.266 10620.9
6.318 10617.9
6.37 10615
6.422 10612.8
6.474 10610.5
6.526 10605.6
6.578 10604.1
6.63 10601
6.682 10596
6.734 10595.4
6.786 10587.8
6.838 10586.9
6.89 10580.3
6.942 10578.8
6.994 10571.8
7.046 10569.9
7.098 10563.4
7.15 10561.5
7.202 10555.6
7.254 10552.6
7.306 10546.8
7.358 10544.1
7.41 10538.3
7.462 10536.1
7.514 10529.5
7.566 10527.9
7.618 10519.8
7.67 10518.5
7.722 10510.3
7.774 10509.3
7.826 10501.6
7.878 10500.3
7.93 10493.4
7.982 10491
8.034 10484.5
8.086 10481.7
8.138 10475
8.19 10471.8
8.242 10464.5
8.294 10462.3
8.346 10455.3
8.398 10453.2
8.45 10444.7
8.502 10441.6
8.554 10433.8
8.606 10431.3
8.658 10424.3
8.71 10422.4
8.762 10413.7
8.814 10405.9
8.866 10400.7
8.918 10395.3
8.97 10392.2
9.022 10385.4
9.074 10377
9.126 10370
9.178 10361.5
9.23 10361.4
9.282 10352
9.334 10343
9.386 10334.5
9.438 10325.7
9.49 10315.7
9.542 10316.1
9.594 10306.7
9.646 10297
9.698 10287.6
9.75 10273.2
9.802 10278.5
9.854 10268.7
9.906 10256.9
9.958 10244.1
10.01 0
10.062 0
10.114 0
10.166 0
10.218 0
10.27 0
10.322 0
10.374 0
10.426 0
