#number of lines of data in this file :
200
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.078 0
0.13 0
0.182 0
0.234 0
0.286 0
0.338 0
0.39 0
0.442 0
0.494 0
0.546 0
0.598 0
0.65 0
0.702 10211.1
0.754 0
0.806 10223.3
0.858 10224
0.91 10233.7
0.962 10243.6
1.014 10253.6
1.066 10262.5
1.118 10271.9
1.17 10265.1
1.222 10281.9
1.274 10290.5
1.326 10300.2
1.378 10309.2
1.43 10303.7
1.482 10317.5
1.534 10324
1.586 10332.1
1.638 10341
1.69 10341.7
1.742 10351
1.794 10352.5
1.846 10359.3
1.898 10365.1
1.95 10373.4
2.002 10375.5
2.054 10382.7
2.106 10386.1
2.158 10391.8
2.21 10397.1
2.262 10402.9
2.314 10406.4
2.366 10412.8
2.418 10415.3
2.47 10421.8
2.522 10424.9
2.574 10433.3
2.626 10434.2
2.678 10442.6
2.73 10445.1
2.782 10452.3
2.834 10454.3
2.886 10461.1
2.938 10464.6
2.99 10471
3.042 10474.3
3.094 10480.2
3.146 10484.9
3.198 10490.7
3.25 10495
3.302 10501.9
3.354 10505.1
3.406 10512.8
3.458 10514.9
3.51 10522.6
3.562 10525.5
3.614 10531.2
3.666 10535.1
3.718 10541.6
3.77 10544.9
3.822 10552.1
3.874 10555.9
3.926 10561.3
3.978 10565.7
4.03 10571.6
4.082 10575.3
4.134 10582.2
4.186 10584.8
4.238 10592.8
4.29 10594.6
4.342 10601.6
4.394 10604
4.446 10610.6
4.498 10613.4
4.55 10620
4.602 10623.1
4.654 10628.9
4.706 10632
4.758 10637.6
4.81 10641.2
4.862 10647.2
4.914 10649.8
4.966 10656.2
5.018 10658.3
5.07 10665.5
5.122 10666.8
5.174 10673.4
5.226 10675.5
5.278 10681.2
5.33 10683.4
5.382 10689.5
5.434 10691.8
5.486 10697.3
5.538 10699.8
5.59 10703.6
5.642 10707.9
5.694 10708.6
5.746 10713
5.798 10716.5
5.85 10716.4
5.902 10724.9
5.954 10716.5
6.006 10721.3
6.058 10719.3
6.11 10717.8
6.162 10714.7
6.214 10712.8
6.266 10710
6.318 10707.5
6.37 10704.7
6.422 10701.3
6.474 10698.3
6.526 10694.7
6.578 10691.3
6.63 10689.1
6.682 10683
6.734 10682.7
6.786 10674.7
6.838 10673.6
6.89 10666.8
6.942 10665.4
6.994 10658.4
7.046 10656.5
7.098 10650.9
7.15 10648.1
7.202 10642.2
7.254 10639.4
7.306 10633
7.358 10631
7.41 10624
7.462 10621.4
7.514 10614.3
7.566 10612.6
7.618 10604.4
7.67 10602.3
7.722 10596
7.774 10593.8
7.826 10587.3
7.878 10585
7.93 10578.4
7.982 10575.1
8.034 10569.7
8.086 10565
8.138 10559.8
8.19 10555.7
8.242 10549.3
8.294 10546.6
8.346 10539.5
8.398 10536.9
8.45 10528.9
8.502 10526
8.554 10518.5
8.606 10515.2
8.658 10509.5
8.71 10504.6
8.762 10499.2
8.814 10492.8
8.866 10488.9
8.918 10481
8.97 10477.2
9.022 10469
9.074 10460.7
9.126 10453.1
9.178 10446.2
9.23 10445
9.282 10436.6
9.334 10428.2
9.386 10418.7
9.438 10409.2
9.49 10406.3
9.542 10400.7
9.594 10393.1
9.646 10383.3
9.698 10373.8
9.75 10362.4
9.802 10364.4
9.854 10354.7
9.906 10344.9
9.958 10335.7
10.01 0
10.062 0
10.114 0
10.166 0
10.218 0
10.27 0
10.322 0
10.374 0
10.426 0
