#number of lines of data in this file :
100
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.156 0
0.26 0
0.364 0
0.468 7861.94
0.572 0
0.676 7928.81
0.78 7941.19
0.884 7947.56
0.988 7965
1.092 7978.13
1.196 8009.13
1.3 8022
1.404 8030.5
1.508 8043.25
1.612 8056.5
1.716 8066.19
1.82 8078.19
1.924 8088
2.028 8100.13
2.132 8110.31
2.236 8121.19
2.34 8135.63
2.444 8145.63
2.548 8154.13
2.652 8165.13
2.756 8173.81
2.86 8185.44
2.964 8196.88
3.068 8205.69
3.172 8216.81
3.276 8227.25
3.38 8234.5
3.484 8245.25
3.588 8254.25
3.692 8263.63
3.796 8273.56
3.9 8281.63
4.004 8291.19
4.108 8301.13
4.212 8308.5
4.316 8317.94
4.42 8325.94
4.524 8336.94
4.628 8346.13
4.732 8347.38
4.836 8358.38
4.94 8366.94
5.044 8369.5
5.148 8378.06
5.252 8378.31
5.356 8388.56
5.46 8397.63
5.564 8396.44
5.668 8407.06
5.772 8415.56
5.876 8407.81
5.98 8416.25
6.084 8407.25
6.188 8415.88
6.292 8410.81
6.396 8401.81
6.5 8409.94
6.604 8400.75
6.708 8390.5
6.812 8392.31
6.916 8382.38
7.02 8382.19
7.124 8373.63
7.228 8364.56
7.332 8363.5
7.436 8354.81
7.54 8345
7.644 8338.63
7.748 8329.56
7.852 8322.38
7.956 8312.13
8.06 8301.5
8.164 8292
8.268 8281.94
8.372 8273
8.476 8265.75
8.58 8256.94
8.684 8249.13
8.788 8238.94
8.892 8228.81
8.996 8218.56
9.1 8207.56
9.204 8193.88
9.308 8185.13
9.412 8173.13
9.516 8162.69
9.62 8150.31
9.724 8139.19
9.828 8129.88
9.932 8117.88
10.036 8065.69
10.14 8057.31
10.244 0
10.348 0
10.452 0
