#number of lines of data in this file :
50
#Number of sites : 
125
#E_bin_mean ln(g(E))
0.312 0
0.52 0
0.728 0
0.936 0
1.144 8685.75
1.352 8765.5
1.56 9130.75
1.768 9385
1.976 9541
2.184 9571.75
2.392 9670.5
2.6 9693.25
2.808 9711.75
3.016 9737
3.224 9774.75
3.432 9794.25
3.64 9808.75
3.848 9818
4.056 9844.25
4.264 9887.25
4.472 9900.75
4.68 9921.75
4.888 9944
5.096 9952
5.304 9962.25
5.512 9969.5
5.72 9980.25
5.928 9984
6.136 9985.5
6.344 9979.25
6.552 9972.25
6.76 9963.25
6.968 9952.25
7.176 9939.5
7.384 9924.75
7.592 9908.25
7.8 9895.75
8.008 9825.5
8.216 9808.75
8.424 9785.5
8.632 9773.75
8.84 9733.75
9.048 9705.75
9.256 9686.25
9.464 9631.5
9.672 9610
9.88 9262.75
10.088 8721.75
10.296 0
10.504 0
