#Steps Energy
0 88
100 -107.2
200 -340
300 -484
400 -653.6
500 -773.6
600 -877.6
700 -984
800 -1060
900 -991.2
1000 -1008
1100 -1054.4
1200 -1112.8
1300 -1056
1400 -1131.2
1500 -1056
1600 -1031.2
1700 -964
1800 -1085.6
1900 -1040
2000 -1087.2
2100 -1145.6
2200 -1284
2300 -1243.2
2400 -1236
2500 -1302.4
2600 -1227.2
2700 -1453.6
2800 -1461.6
2900 -1420
3000 -1466.4
3100 -1523.2
3200 -1526.4
3300 -1595.2
3400 -1524.8
3500 -1544.8
3600 -1476.8
3700 -1484.8
3800 -1562.4
3900 -1638.4
4000 -1694.4
4100 -1668
4200 -1616.8
4300 -1688.8
4400 -1787.2
4500 -1706.4
4600 -1621.6
4700 -1608.8
4800 -1659.2
4900 -1715.2
5000 -1628
5100 -1621.6
5200 -1560.8
5300 -1498.4
5400 -1556
5500 -1416
5600 -1428.8
5700 -1260.8
5800 -1250.4
5900 -1352
6000 -1328
6100 -1358.4
6200 -1428.8
6300 -1362.4
6400 -1348
6500 -1347.2
6600 -1396.8
6700 -1395.2
6800 -1306.4
6900 -1432
7000 -1329.6
7100 -1461.6
7200 -1534.4
7300 -1532.8
7400 -1537.6
7500 -1580
7600 -1468
7700 -1475.2
7800 -1521.6
7900 -1587.2
8000 -1487.2
8100 -1515.2
8200 -1440.8
8300 -1459.2
8400 -1500.8
8500 -1525.6
8600 -1436
8700 -1508.8
8800 -1516
8900 -1428.8
9000 -1413.6
9100 -1357.6
9200 -1408
9300 -1445.6
9400 -1377.6
9500 -1316
9600 -1226.4
9700 -1268.8
9800 -1330.4
9900 -1359.2
10000 -1374.4
10100 -1286.4
10200 -1312.8
10300 -1426.4
10400 -1475.2
10500 -1500
10600 -1449.6
10700 -1537.6
10800 -1480
10900 -1586.4
11000 -1652
11100 -1641.6
11200 -1553.6
11300 -1664
11400 -1607.2
11500 -1672.8
11600 -1647.2
11700 -1640.8
11800 -1604
11900 -1574.4
12000 -1521.6
12100 -1390.4
12200 -1336.8
12300 -1388.8
12400 -1509.6
12500 -1441.6
12600 -1496
12700 -1505.6
12800 -1434.4
12900 -1416
13000 -1408.8
13100 -1350.4
13200 -1479.2
13300 -1581.6
13400 -1574.4
13500 -1572
13600 -1658.4
13700 -1652
13800 -1639.2
13900 -1607.2
14000 -1639.2
14100 -1778.4
14200 -1735.2
14300 -1745.6
14400 -1759.2
14500 -1586.4
14600 -1635.2
14700 -1616
14800 -1671.2
14900 -1673.6
15000 -1680
15100 -1744.8
15200 -1708.8
15300 -1744.8
15400 -1741.6
15500 -1801.6
15600 -1680
15700 -1657.6
15800 -1565.6
15900 -1573.6
16000 -1702.4
16100 -1672
16200 -1629.6
16300 -1525.6
16400 -1534.4
16500 -1652
16600 -1637.6
16700 -1755.2
16800 -1774.4
16900 -1620.8
17000 -1536
17100 -1639.2
17200 -1603.2
17300 -1584
17400 -1542.4
17500 -1600
17600 -1689.6
17700 -1672
17800 -1631.2
17900 -1643.2
18000 -1520
18100 -1542.4
18200 -1617.6
18300 -1555.2
18400 -1515.2
18500 -1462.4
18600 -1434.4
18700 -1444.8
18800 -1490.4
18900 -1564.8
19000 -1388
19100 -1432
19200 -1382.4
19300 -1250.4
19400 -1274.4
19500 -1342.4
19600 -1468.8
19700 -1452
19800 -1517.6
19900 -1536.8
20000 -1596.8
20100 -1593.6
20200 -1524.8
20300 -1632.8
20400 -1654.4
20500 -1561.6
20600 -1472.8
20700 -1572.8
20800 -1715.2
20900 -1666.4
21000 -1662.4
21100 -1588.8
21200 -1768
21300 -1749.6
21400 -1742.4
21500 -1720
21600 -1643.2
21700 -1546.4
21800 -1592
21900 -1578.4
22000 -1594.4
22100 -1565.6
22200 -1553.6
22300 -1543.2
22400 -1530.4
22500 -1507.2
22600 -1467.2
22700 -1541.6
22800 -1636
22900 -1627.2
23000 -1593.6
23100 -1554.4
23200 -1404.8
23300 -1409.6
23400 -1444
23500 -1471.2
23600 -1420
23700 -1408
23800 -1388
23900 -1249.6
24000 -1308
24100 -1343.2
24200 -1369.6
24300 -1458.4
24400 -1507.2
24500 -1457.6
24600 -1459.2
24700 -1625.6
24800 -1722.4
24900 -1766.4
25000 -1816
25100 -1868.8
25200 -1804.8
25300 -1822.4
25400 -1773.6
25500 -1808
25600 -1848.8
25700 -1768
25800 -1770.4
25900 -1844.8
26000 -1790.4
26100 -1701.6
26200 -1756.8
26300 -1793.6
26400 -1772.8
26500 -1740.8
26600 -1753.6
26700 -1708
26800 -1776
26900 -1724.8
27000 -1643.2
27100 -1580.8
27200 -1595.2
27300 -1592.8
27400 -1582.4
27500 -1633.6
27600 -1601.6
27700 -1468
27800 -1496
27900 -1538.4
28000 -1509.6
28100 -1565.6
28200 -1528.8
28300 -1614.4
28400 -1533.6
28500 -1585.6
28600 -1713.6
28700 -1724
28800 -1736.8
28900 -1709.6
29000 -1734.4
29100 -1710.4
29200 -1762.4
29300 -1656.8
29400 -1636
29500 -1700
29600 -1637.6
29700 -1680.8
29800 -1476
29900 -1451.2
30000 -1400
30100 -1364.8
30200 -1555.2
30300 -1545.6
30400 -1484.8
30500 -1471.2
30600 -1478.4
30700 -1347.2
30800 -1411.2
30900 -1445.6
31000 -1512
31100 -1447.2
31200 -1468
31300 -1408
31400 -1484
31500 -1392
31600 -1411.2
31700 -1344.8
31800 -1304.8
31900 -1348.8
32000 -1271.2
32100 -1312
32200 -1408.8
32300 -1521.6
32400 -1420.8
32500 -1406.4
32600 -1480.8
32700 -1541.6
32800 -1527.2
32900 -1404
33000 -1527.2
33100 -1452
33200 -1434.4
33300 -1477.6
33400 -1405.6
33500 -1292.8
33600 -1373.6
33700 -1384.8
33800 -1417.6
33900 -1457.6
34000 -1518.4
34100 -1554.4
34200 -1620
34300 -1624
34400 -1712.8
34500 -1613.6
34600 -1600
34700 -1605.6
34800 -1584
34900 -1607.2
35000 -1592
35100 -1556.8
35200 -1661.6
35300 -1626.4
35400 -1761.6
35500 -1704.8
35600 -1740.8
35700 -1670.4
35800 -1698.4
35900 -1705.6
36000 -1708
36100 -1807.2
36200 -1933.6
36300 -1860.8
36400 -1774.4
36500 -1739.2
36600 -1754.4
36700 -1593.6
36800 -1492.8
36900 -1429.6
37000 -1469.6
37100 -1376.8
37200 -1424
37300 -1486.4
37400 -1420.8
37500 -1515.2
37600 -1508
37700 -1413.6
37800 -1530.4
37900 -1445.6
38000 -1424
38100 -1432
38200 -1445.6
38300 -1636
38400 -1616
38500 -1700.8
38600 -1755.2
38700 -1660
38800 -1721.6
38900 -1786.4
39000 -1786.4
39100 -1881.6
39200 -1892.8
39300 -1983.2
39400 -1970.4
39500 -1912.8
39600 -1845.6
39700 -1788
39800 -1656
39900 -1648
40000 -1613.6
40100 -1600
40200 -1633.6
40300 -1616
40400 -1547.2
40500 -1608
40600 -1730.4
40700 -1693.6
40800 -1696
40900 -1648
41000 -1600
41100 -1552.8
41200 -1544
41300 -1529.6
41400 -1468
41500 -1518.4
41600 -1495.2
41700 -1660
41800 -1575.2
41900 -1568.8
42000 -1604.8
42100 -1618.4
42200 -1670.4
42300 -1643.2
42400 -1706.4
42500 -1704
42600 -1724
42700 -1739.2
42800 -1785.6
42900 -1750.4
43000 -1648
43100 -1591.2
43200 -1624.8
43300 -1698.4
43400 -1665.6
43500 -1620
43600 -1664.8
43700 -1604
43800 -1626.4
43900 -1428.8
44000 -1519.2
44100 -1490.4
44200 -1548
44300 -1466.4
44400 -1524
44500 -1498.4
44600 -1463.2
44700 -1549.6
44800 -1460.8
44900 -1387.2
45000 -1353.6
45100 -1469.6
45200 -1436
45300 -1466.4
45400 -1480
45500 -1456.8
45600 -1428.8
45700 -1398.4
45800 -1422.4
45900 -1370.4
46000 -1521.6
46100 -1510.4
46200 -1533.6
46300 -1512.8
46400 -1506.4
46500 -1475.2
46600 -1466.4
46700 -1520
46800 -1400.8
46900 -1556
47000 -1576
47100 -1546.4
47200 -1575.2
47300 -1544
47400 -1442.4
47500 -1425.6
47600 -1450.4
47700 -1518.4
47800 -1468
47900 -1506.4
