#Steps Energy
0 349.6
100 88
200 -120.8
300 -469.6
400 -600.8
500 -787.2
600 -944
700 -992.8
800 -1069.6
900 -1118.4
1000 -1180
1100 -1228.8
1200 -1277.6
1300 -1246.4
1400 -1267.2
1500 -1400
1600 -1518.4
1700 -1549.6
1800 -1577.6
1900 -1503.2
2000 -1507.2
2100 -1478.4
2200 -1537.6
2300 -1560
2400 -1660
2500 -1700.8
2600 -1651.2
2700 -1672.8
2800 -1556.8
2900 -1665.6
3000 -1783.2
3100 -1831.2
3200 -1889.6
3300 -1941.6
3400 -1917.6
3500 -1948
3600 -2014.4
3700 -1943.2
3800 -1884
3900 -1934.4
4000 -1896.8
4100 -1927.2
4200 -1952.8
4300 -1946.4
4400 -1960
4500 -2136
4600 -2241.6
4700 -2226.4
4800 -2263.2
4900 -2315.2
5000 -2306.4
5100 -2337.6
5200 -2346.4
5300 -2300.8
5400 -2352.8
5500 -2354.4
5600 -2424
5700 -2379.2
5800 -2454.4
5900 -2465.6
6000 -2509.6
6100 -2523.2
6200 -2524.8
6300 -2590.4
6400 -2568
6500 -2650.4
6600 -2661.6
6700 -2591.2
6800 -2572.8
6900 -2548
7000 -2618.4
7100 -2618.4
7200 -2557.6
7300 -2464
7400 -2544
7500 -2533.6
7600 -2484.8
7700 -2524.8
7800 -2486.4
7900 -2536
8000 -2589.6
8100 -2558.4
8200 -2420.8
8300 -2397.6
8400 -2336
8500 -2392.8
8600 -2451.2
8700 -2441.6
8800 -2439.2
8900 -2557.6
9000 -2492
9100 -2416.8
9200 -2378.4
9300 -2300
9400 -2304.8
9500 -2324.8
9600 -2281.6
9700 -2305.6
9800 -2291.2
9900 -2347.2
10000 -2418.4
10100 -2573.6
10200 -2621.6
10300 -2706.4
10400 -2664
10500 -2677.6
10600 -2698.4
10700 -2790.4
10800 -2768.8
10900 -2730.4
11000 -2700.8
11100 -2752.8
11200 -2736
11300 -2733.6
11400 -2718.4
11500 -2739.2
11600 -2724.8
11700 -2651.2
11800 -2692
11900 -2695.2
12000 -2680
12100 -2625.6
12200 -2684.8
12300 -2781.6
12400 -2784
12500 -2719.2
12600 -2779.2
12700 -2742.4
12800 -2731.2
12900 -2722.4
13000 -2812.8
13100 -2688
13200 -2644.8
13300 -2571.2
13400 -2530.4
13500 -2566.4
13600 -2626.4
13700 -2591.2
13800 -2577.6
13900 -2580.8
14000 -2656.8
14100 -2704
14200 -2716
14300 -2742.4
14400 -2773.6
14500 -2644.8
14600 -2664
14700 -2728
14800 -2853.6
14900 -2862.4
15000 -2852
15100 -2827.2
15200 -2801.6
15300 -2763.2
15400 -2663.2
15500 -2630.4
15600 -2690.4
15700 -2744.8
15800 -2764.8
15900 -2883.2
16000 -2890.4
16100 -2922.4
16200 -2876.8
16300 -2744.8
16400 -2816
16500 -2768
16600 -2744
16700 -2759.2
16800 -2748
16900 -2700
17000 -2815.2
17100 -2774.4
17200 -2804
17300 -2759.2
17400 -2850.4
17500 -2886.4
17600 -3001.6
17700 -2950.4
17800 -3003.2
17900 -2951.2
18000 -2934.4
18100 -3008.8
18200 -3043.2
18300 -3140.8
18400 -3164
18500 -3197.6
18600 -3220.8
18700 -3172
18800 -3192.8
18900 -3219.2
19000 -3173.6
19100 -3111.2
19200 -3137.6
19300 -3116
19400 -3212
19500 -3148.8
19600 -3220.8
19700 -3196
19800 -3183.2
19900 -3263.2
20000 -3192
20100 -3148.8
20200 -3108
20300 -3142.4
20400 -3247.2
20500 -3250.4
20600 -3263.2
20700 -3255.2
20800 -3223.2
20900 -3172
21000 -3109.6
21100 -3156.8
21200 -3105.6
21300 -3152
21400 -3221.6
21500 -3312
21600 -3327.2
21700 -3398.4
21800 -3326.4
21900 -3327.2
22000 -3444.8
22100 -3373.6
22200 -3449.6
22300 -3462.4
22400 -3449.6
22500 -3493.6
22600 -3420
22700 -3285.6
22800 -3337.6
22900 -3260
23000 -3217.6
23100 -3377.6
23200 -3340
23300 -3432
23400 -3444
23500 -3388
23600 -3359.2
23700 -3360.8
23800 -3404.8
23900 -3429.6
24000 -3433.6
24100 -3491.2
24200 -3438.4
24300 -3486.4
24400 -3512
24500 -3444
24600 -3463.2
24700 -3368.8
24800 -3392.8
24900 -3499.2
25000 -3414.4
25100 -3304.8
25200 -3348
25300 -3316.8
25400 -3223.2
25500 -3384.8
25600 -3380
25700 -3340.8
25800 -3268.8
25900 -3325.6
26000 -3347.2
26100 -3310.4
26200 -3403.2
26300 -3509.6
26400 -3487.2
26500 -3476.8
26600 -3499.2
26700 -3475.2
26800 -3408.8
26900 -3407.2
27000 -3503.2
27100 -3532
27200 -3577.6
27300 -3481.6
27400 -3456
27500 -3476.8
27600 -3416
27700 -3448
27800 -3481.6
27900 -3440
28000 -3614.4
28100 -3532.8
28200 -3471.2
28300 -3451.2
28400 -3411.2
28500 -3389.6
28600 -3428.8
28700 -3460
28800 -3460
28900 -3418.4
29000 -3416
29100 -3356.8
29200 -3314.4
29300 -3284.8
29400 -3372.8
29500 -3377.6
29600 -3369.6
29700 -3448.8
29800 -3448.8
29900 -3505.6
30000 -3528.8
30100 -3479.2
30200 -3409.6
30300 -3407.2
30400 -3291.2
30500 -3301.6
30600 -3314.4
30700 -3316
30800 -3432.8
30900 -3507.2
31000 -3477.6
31100 -3535.2
31200 -3567.2
31300 -3520.8
31400 -3536.8
