#Steps Energy
0 116
100 -91.2
200 -396
300 -588.8
400 -641.6
500 -832
600 -861.6
700 -1050.4
800 -1232
900 -1309.6
1000 -1402.4
1100 -1507.2
1200 -1555.2
1300 -1582.4
1400 -1684
1500 -1708
1600 -1851.2
1700 -1902.4
1800 -1969.6
1900 -1928
2000 -1947.2
2100 -2039.2
2200 -2114.4
2300 -2097.6
2400 -2145.6
2500 -2182.4
2600 -2250.4
2700 -2232
2800 -2298.4
2900 -2320.8
3000 -2429.6
3100 -2377.6
3200 -2468
3300 -2482.4
3400 -2431.2
3500 -2472.8
3600 -2457.6
3700 -2455.2
3800 -2438.4
3900 -2520
4000 -2497.6
4100 -2480.8
4200 -2490.4
4300 -2480.8
4400 -2504.8
4500 -2620
4600 -2688.8
4700 -2718.4
4800 -2736
4900 -2803.2
5000 -2725.6
5100 -2756
5200 -2856.8
5300 -2916
5400 -2984.8
5500 -2979.2
5600 -2914.4
5700 -2934.4
5800 -3013.6
5900 -3027.2
6000 -3022.4
6100 -3009.6
6200 -3028.8
6300 -3082.4
6400 -3040
6500 -2996.8
6600 -3028
6700 -3008.8
6800 -2986.4
6900 -2964
7000 -2996.8
7100 -3040.8
7200 -3048.8
7300 -3059.2
7400 -3018.4
7500 -3001.6
7600 -2971.2
7700 -3032.8
7800 -3092.8
7900 -3090.4
8000 -3108
8100 -3152.8
8200 -3179.2
8300 -3171.2
8400 -3123.2
8500 -3178.4
8600 -3260
8700 -3279.2
8800 -3252.8
8900 -3265.6
9000 -3259.2
9100 -3204
9200 -3240.8
9300 -3252.8
9400 -3284
9500 -3277.6
9600 -3285.6
9700 -3268.8
9800 -3192.8
9900 -3132
10000 -3131.2
10100 -3151.2
10200 -3135.2
10300 -3156.8
10400 -3172
10500 -3226.4
10600 -3263.2
10700 -3240
10800 -3268.8
10900 -3257.6
11000 -3358.4
11100 -3349.6
11200 -3426.4
11300 -3434.4
11400 -3440
11500 -3448
11600 -3435.2
11700 -3461.6
11800 -3526.4
11900 -3456.8
12000 -3441.6
12100 -3456
12200 -3475.2
12300 -3400
12400 -3432.8
12500 -3499.2
12600 -3606.4
12700 -3659.2
12800 -3697.6
