#Steps Energy
0 216
100 -111.2
200 -226.4
300 -314.4
400 -568.8
500 -638.4
600 -732
700 -827.2
800 -832.8
900 -899.2
1000 -868
1100 -808.8
1200 -920.8
1300 -1029.6
1400 -984.8
1500 -1119.2
1600 -1155.2
1700 -1150.4
1800 -1206.4
1900 -1150.4
2000 -1152
2100 -1095.2
2200 -1064.8
2300 -1200.8
2400 -1205.6
2500 -1164
2600 -1266.4
2700 -1408.8
2800 -1417.6
2900 -1381.6
3000 -1360.8
3100 -1386.4
3200 -1434.4
3300 -1417.6
3400 -1496.8
3500 -1394.4
3600 -1247.2
3700 -1101.6
3800 -1108
3900 -1216.8
4000 -1217.6
4100 -1310.4
4200 -1243.2
4300 -1231.2
4400 -1200.8
4500 -1316
4600 -1375.2
4700 -1388.8
4800 -1332
4900 -1283.2
5000 -1246.4
5100 -1175.2
5200 -1232
5300 -1278.4
5400 -1307.2
5500 -1250.4
5600 -1221.6
5700 -1074.4
5800 -1225.6
5900 -1148
6000 -1217.6
6100 -1246.4
6200 -1260.8
6300 -1220
6400 -1212
6500 -1376.8
6600 -1488.8
6700 -1483.2
6800 -1475.2
6900 -1522.4
7000 -1606.4
7100 -1600
7200 -1525.6
7300 -1533.6
7400 -1472.8
7500 -1377.6
7600 -1364
7700 -1332.8
7800 -1300.8
7900 -1303.2
8000 -1363.2
8100 -1300
8200 -1456.8
8300 -1499.2
8400 -1399.2
8500 -1517.6
8600 -1457.6
8700 -1520.8
8800 -1565.6
8900 -1490.4
9000 -1456.8
9100 -1493.6
9200 -1600
9300 -1704.8
9400 -1654.4
9500 -1672
9600 -1546.4
9700 -1444
9800 -1607.2
9900 -1647.2
10000 -1679.2
10100 -1757.6
10200 -1806.4
10300 -1688.8
10400 -1670.4
10500 -1613.6
10600 -1512
10700 -1584.8
10800 -1669.6
10900 -1621.6
11000 -1536
11100 -1468.8
11200 -1575.2
11300 -1682.4
11400 -1671.2
11500 -1564
11600 -1616.8
11700 -1523.2
11800 -1454.4
11900 -1275.2
12000 -1251.2
12100 -1229.6
12200 -1356.8
12300 -1358.4
12400 -1361.6
12500 -1428
12600 -1464
12700 -1406.4
12800 -1258.4
12900 -1160.8
13000 -1181.6
13100 -1184.8
13200 -1151.2
13300 -1123.2
13400 -1092
13500 -1146.4
13600 -1173.6
13700 -1176
13800 -1146.4
13900 -1217.6
14000 -1196.8
14100 -1314.4
14200 -1304
14300 -1287.2
14400 -1289.6
14500 -1280.8
14600 -1304
14700 -1269.6
14800 -1246.4
14900 -1216
15000 -1215.2
15100 -1313.6
15200 -1271.2
15300 -1320
15400 -1336
15500 -1312.8
15600 -1383.2
15700 -1370.4
15800 -1372.8
15900 -1442.4
16000 -1429.6
16100 -1456
16200 -1511.2
16300 -1492.8
16400 -1426.4
16500 -1376.8
16600 -1343.2
16700 -1468
16800 -1514.4
16900 -1573.6
17000 -1570.4
17100 -1524
17200 -1686.4
17300 -1608.8
17400 -1566.4
17500 -1598.4
17600 -1496.8
17700 -1524
17800 -1524
17900 -1616.8
18000 -1624
18100 -1638.4
18200 -1678.4
18300 -1741.6
18400 -1799.2
18500 -1787.2
18600 -1734.4
18700 -1740
18800 -1708.8
18900 -1620
19000 -1633.6
19100 -1623.2
19200 -1765.6
19300 -1782.4
19400 -1732.8
19500 -1693.6
19600 -1746.4
19700 -1665.6
19800 -1677.6
19900 -1536
20000 -1548
20100 -1434.4
20200 -1387.2
20300 -1394.4
20400 -1486.4
20500 -1454.4
20600 -1500.8
20700 -1573.6
20800 -1554.4
20900 -1593.6
21000 -1529.6
21100 -1500
21200 -1441.6
21300 -1414.4
21400 -1338.4
21500 -1329.6
21600 -1220
21700 -1212
21800 -1214.4
21900 -1108.8
22000 -1098.4
22100 -1058.4
22200 -1164
22300 -1230.4
22400 -1142.4
22500 -1143.2
22600 -1056
22700 -1084
22800 -1033.6
22900 -1064.8
23000 -1132
23100 -1201.6
23200 -1054.4
23300 -1143.2
23400 -1167.2
23500 -1192.8
23600 -1236
23700 -1051.2
23800 -1059.2
23900 -970.4
24000 -1129.6
24100 -1216
24200 -1248
24300 -1255.2
24400 -1235.2
24500 -1267.2
24600 -1256
24700 -1304.8
24800 -1263.2
24900 -1263.2
25000 -1292.8
25100 -1320
25200 -1394.4
25300 -1358.4
25400 -1262.4
25500 -1327.2
25600 -1391.2
25700 -1280
25800 -1297.6
25900 -1349.6
26000 -1300
26100 -1360.8
26200 -1354.4
26300 -1336
26400 -1340.8
26500 -1314.4
26600 -1364
26700 -1392
26800 -1393.6
26900 -1413.6
27000 -1410.4
27100 -1416
27200 -1376
27300 -1544
27400 -1524.8
27500 -1501.6
27600 -1378.4
27700 -1328.8
27800 -1185.6
27900 -1199.2
28000 -1116
28100 -1132.8
28200 -1204.8
28300 -1304
28400 -1294.4
28500 -1372
28600 -1183.2
28700 -1118.4
28800 -1039.2
28900 -1047.2
29000 -950.4
29100 -952.8
29200 -931.2
29300 -1027.2
29400 -1151.2
29500 -1192
29600 -1263.2
29700 -1272
29800 -1187.2
29900 -1179.2
30000 -1136.8
30100 -1190.4
30200 -1091.2
30300 -1055.2
30400 -1074.4
30500 -952
30600 -899.2
30700 -891.2
30800 -992.8
30900 -1044.8
31000 -1094.4
31100 -1101.6
31200 -1020
31300 -988
31400 -945.6
31500 -1093.6
31600 -1148
31700 -1203.2
31800 -1280.8
31900 -1352
32000 -1349.6
32100 -1490.4
32200 -1504
32300 -1495.2
32400 -1472.8
32500 -1600
32600 -1641.6
32700 -1536.8
32800 -1601.6
32900 -1542.4
33000 -1497.6
33100 -1560
33200 -1483.2
33300 -1528
33400 -1498.4
33500 -1478.4
33600 -1450.4
33700 -1496.8
33800 -1584
33900 -1555.2
34000 -1458.4
34100 -1430.4
34200 -1333.6
34300 -1242.4
34400 -1230.4
34500 -1197.6
34600 -1204
34700 -1158.4
34800 -1120
34900 -1128.8
35000 -1104.8
35100 -1249.6
35200 -1228.8
35300 -1338.4
35400 -1442.4
35500 -1396
35600 -1333.6
35700 -1361.6
35800 -1431.2
35900 -1364
36000 -1340
36100 -1351.2
36200 -1427.2
36300 -1415.2
36400 -1360
36500 -1371.2
36600 -1358.4
36700 -1475.2
36800 -1498.4
36900 -1436
37000 -1384
37100 -1347.2
37200 -1322.4
37300 -1346.4
37400 -1352.8
37500 -1356.8
37600 -1404
37700 -1401.6
37800 -1314.4
37900 -1263.2
38000 -1248.8
38100 -1236
38200 -1330.4
38300 -1242.4
38400 -1303.2
38500 -1338.4
38600 -1368.8
38700 -1415.2
38800 -1410.4
38900 -1424
39000 -1420.8
39100 -1394.4
39200 -1370.4
39300 -1431.2
39400 -1428.8
39500 -1500
39600 -1422.4
39700 -1382.4
39800 -1339.2
39900 -1448
40000 -1376
40100 -1378.4
40200 -1352.8
40300 -1422.4
40400 -1398.4
40500 -1496.8
40600 -1536
40700 -1544
40800 -1496.8
40900 -1464.8
41000 -1481.6
41100 -1567.2
41200 -1628
41300 -1568.8
41400 -1515.2
41500 -1490.4
41600 -1483.2
41700 -1380
41800 -1442.4
41900 -1416.8
42000 -1428.8
42100 -1347.2
42200 -1393.6
42300 -1312.8
42400 -1275.2
42500 -1232
42600 -1333.6
42700 -1293.6
42800 -1454.4
42900 -1433.6
43000 -1332
43100 -1318.4
43200 -1228.8
